frame,t_sec,neck_tilt,ear_avg,neck_delta_abs,neck_alarm_8,neck_alarm_15
554,18.867,,,0.0,0,0
556,18.935,,,0.0,0,0
558,19.003,,,0.0,0,0
560,19.071,,,0.0,0,0
562,19.14,,,0.0,0,0
564,19.208,,,0.0,0,0
566,19.276,,,0.0,0,0
568,19.344,,,0.0,0,0
570,19.412,,,0.0,0,0
572,19.48,,,0.0,0,0
574,19.548,,,0.0,0,0
576,19.616,,,0.0,0,0
578,19.684,,,0.0,0,0
580,19.753,,,0.0,0,0
582,19.821,,,0.0,0,0
584,19.889,,,0.0,0,0
586,19.957,,,0.0,0,0
588,20.025,,,0.0,0,0
590,20.093,,,0.0,0,0
592,20.161,,,0.0,0,0
594,20.229,,,0.0,0,0
596,20.298,,,0.0,0,0
598,20.366,,,0.0,0,0
600,20.434,,,0.0,0,0
602,20.502,,,0.0,0,0
604,20.57,,,0.0,0,0
606,20.638,,,0.0,0,0
608,20.706,,,0.0,0,0
610,20.774,,,0.0,0,0
612,20.842,,,0.0,0,0
614,20.911,,,0.0,0,0
616,20.979,,,0.0,0,0
618,21.047,,,0.0,0,0
620,21.115,,,0.0,0,0
622,21.183,,,0.0,0,0
624,21.251,,,0.0,0,0
626,21.319,,,0.0,0,0
628,21.387,,,0.0,0,0
630,21.455,,,0.0,0,0
632,21.524,,,0.0,0,0
634,21.592,,,0.0,0,0
636,21.66,,,0.0,0,0
638,21.728,,,0.0,0,0
640,21.796,,,0.0,0,0
642,21.864,,,0.0,0,0
644,21.932,,,0.0,0,0
646,22.0,,,0.0,0,0
648,22.068,,,0.0,0,0
650,22.137,,,0.0,0,0
652,22.205,,,0.0,0,0
654,22.273,,,0.0,0,0
656,22.341,,,0.0,0,0
658,22.409,,,0.0,0,0
660,22.477,,,0.0,0,0
662,22.545,,,0.0,0,0
664,22.613,,,0.0,0,0
666,22.681,,,0.0,0,0
668,22.75,,,0.0,0,0
670,22.818,,,0.0,0,0
672,22.886,,,0.0,0,0
674,22.954,,,0.0,0,0
676,23.022,,,0.0,0,0
678,23.09,,,0.0,0,0
680,23.158,,,0.0,0,0
682,23.226,,,0.0,0,0
684,23.294,,,0.0,0,0
686,23.363,,,0.0,0,0
688,23.431,,,0.0,0,0
690,23.499,,,0.0,0,0
692,23.567,,,0.0,0,0
694,23.635,,,0.0,0,0
696,23.703,,,0.0,0,0
698,23.771,,,0.0,0,0
700,23.839,,,0.0,0,0
702,23.907,,,0.0,0,0
704,23.976,,,0.0,0,0
706,24.044,,,0.0,0,0
708,24.112,,,0.0,0,0
710,24.18,,,0.0,0,0
712,24.248,,,0.0,0,0
714,24.316,,,0.0,0,0
716,24.384,,,0.0,0,0
718,24.452,,,0.0,0,0
720,24.52,,,0.0,0,0
722,24.589,,,0.0,0,0
724,24.657,,,0.0,0,0
726,24.725,,,0.0,0,0
728,24.793,,,0.0,0,0
730,24.861,,,0.0,0,0
732,24.929,,,0.0,0,0
734,24.997,,,0.0,0,0
736,25.065,,,0.0,0,0
738,25.133,,,0.0,0,0
740,25.202,,,0.0,0,0
742,25.27,,,0.0,0,0
744,25.338,,,0.0,0,0
746,25.406,,,0.0,0,0
748,25.474,,,0.0,0,0
750,25.542,,,0.0,0,0
752,25.61,,,0.0,0,0
754,25.678,,,0.0,0,0
756,25.747,,,0.0,0,0
758,25.815,,,0.0,0,0
760,25.883,,,0.0,0,0
762,25.951,,,0.0,0,0
764,26.019,,,0.0,0,0
766,26.087,,,0.0,0,0
768,26.155,,,0.0,0,0
770,26.223,,,0.0,0,0
772,26.291,,,0.0,0,0
774,26.36,,,0.0,0,0
776,26.428,,,0.0,0,0
778,26.496,,,0.0,0,0
780,26.564,,,0.0,0,0
782,26.632,,,0.0,0,0
784,26.7,,,0.0,0,0
786,26.768,,,0.0,0,0
788,26.836,,,0.0,0,0
790,26.904,,,0.0,0,0
792,26.973,,,0.0,0,0
794,27.041,,,0.0,0,0
796,27.109,,,0.0,0,0
798,27.177,,,0.0,0,0
800,27.245,,,0.0,0,0
802,27.313,,,0.0,0,0
804,27.381,,,0.0,0,0
806,27.449,,,0.0,0,0
808,27.517,,,0.0,0,0
810,27.586,,,0.0,0,0
812,27.654,,,0.0,0,0
814,27.722,,,0.0,0,0
816,27.79,,,0.0,0,0
818,27.858,,,0.0,0,0
820,27.926,,,0.0,0,0
822,27.994,,,0.0,0,0
824,28.062,,,0.0,0,0
826,28.13,,,0.0,0,0
828,28.199,,,0.0,0,0
830,28.267,,,0.0,0,0
832,28.335,,,0.0,0,0
834,28.403,,,0.0,0,0
836,28.471,,,0.0,0,0
838,28.539,,,0.0,0,0
840,28.607,,,0.0,0,0
842,28.675,,,0.0,0,0
844,28.743,,,0.0,0,0
846,28.812,,,0.0,0,0
848,28.88,,,0.0,0,0
850,28.948,,,0.0,0,0
852,29.016,,,0.0,0,0
854,29.084,,,0.0,0,0
856,29.152,,,0.0,0,0
858,29.22,,,0.0,0,0
860,29.288,,,0.0,0,0
862,29.356,,,0.0,0,0
864,29.425,,,0.0,0,0
866,29.493,,,0.0,0,0
868,29.561,,,0.0,0,0
870,29.629,,,0.0,0,0
872,29.697,,,0.0,0,0
874,29.765,,,0.0,0,0
876,29.833,,,0.0,0,0
878,29.901,,,0.0,0,0
880,29.969,,,0.0,0,0
882,30.038,,,0.0,0,0
884,30.106,,,0.0,0,0
886,30.174,,,0.0,0,0
888,30.242,,,0.0,0,0
890,30.31,,,0.0,0,0
892,30.378,,,0.0,0,0
894,30.446,,,0.0,0,0
896,30.514,,,0.0,0,0
898,30.582,,,0.0,0,0
900,30.651,,,0.0,0,0
902,30.719,,,0.0,0,0
904,30.787,,,0.0,0,0
906,30.855,,,0.0,0,0
908,30.923,,,0.0,0,0
910,30.991,,,0.0,0,0
912,31.059,,,0.0,0,0
914,31.127,,,0.0,0,0
916,31.195,,,0.0,0,0
918,31.264,,,0.0,0,0
920,31.332,,,0.0,0,0
922,31.4,,,0.0,0,0
924,31.468,,,0.0,0,0
926,31.536,,,0.0,0,0
928,31.604,,,0.0,0,0
930,31.672,,,0.0,0,0
932,31.74,,,0.0,0,0
934,31.809,,,0.0,0,0
936,31.877,,,0.0,0,0
938,31.945,,,0.0,0,0
940,32.013,,,0.0,0,0
942,32.081,,,0.0,0,0
944,32.149,,,0.0,0,0
946,32.217,,,0.0,0,0
948,32.285,,,0.0,0,0
950,32.353,,,0.0,0,0
952,32.422,,,0.0,0,0
954,32.49,,,0.0,0,0
956,32.558,,,0.0,0,0
958,32.626,,,0.0,0,0
960,32.694,,,0.0,0,0
962,32.762,,,0.0,0,0
964,32.83,,,0.0,0,0
966,32.898,,,0.0,0,0
968,32.966,,,0.0,0,0
970,33.035,,,0.0,0,0
972,33.103,,,0.0,0,0
974,33.171,,,0.0,0,0
976,33.239,,,0.0,0,0
978,33.307,,,0.0,0,0
980,33.375,,,0.0,0,0
982,33.443,,,0.0,0,0
984,33.511,,,0.0,0,0
986,33.579,,,0.0,0,0
988,33.648,,,0.0,0,0
990,33.716,,,0.0,0,0
992,33.784,,,0.0,0,0
994,33.852,,,0.0,0,0
996,33.92,,,0.0,0,0
998,33.988,,,0.0,0,0
